Speed,Distance,Throttle,Brake,DRS,RPM
263,0.0,100,False,8,10649
264,9.166666666666666,100,False,8,10677
266,18.03333333333333,100,False,8,10734
268,23.54222222222222,100,False,8,10791
270,37.49222222222223,100,False,8,10840
272,38.55,100,False,8,10889
272,53.66111111111111,100,False,8,10903
275,63.28611111111111,100,False,8,11015
278,69.00055555555556,100,False,8,11127
280,81.91166666666666,100,False,8,11173
282,94.05333333333331,100,False,8,11220
285,107.11583333333331,100,False,8,11304
288,125.91583333333332,100,False,8,11389
289,129.52833333333334,100,False,8,11430
290,145.23666666666665,100,False,14,11472
291,158.57416666666666,100,False,14,11496
293,161.42277777777778,100,False,14,11520
297,181.22277777777776,100,False,12,10558
298,181.63666666666668,100,False,12,10629
299,197.8325,100,False,12,10701
301,209.9561111111111,100,False,12,10792
303,226.78944444444448,100,False,12,10883
305,231.44916666666663,100,False,12,10975
307,257.5441666666667,100,False,12,10980
309,262.1791666666667,100,False,12,10986
311,276.0013888888889,100,False,12,11065
312,281.7213888888889,100,False,12,11106
313,293.37194444444447,100,False,12,11147
313,300.8491666666667,100,False,12,11182
314,318.29361111111115,100,False,12,11217
315,321.2686111111111,100,False,12,11253
317,332.36361111111114,100,False,12,11282
319,338.9208333333333,100,False,12,11312
320,350.1208333333333,100,False,12,11347
321,362.6041666666667,100,False,12,11382
322,363.85638888888894,100,False,12,11418
324,378.25638888888886,100,False,12,11445
324,385.9963888888889,100,False,12,11454
324,396.1663888888889,100,False,12,11463
325,404.0205555555555,100,False,12,11475
327,414.2847222222222,100,False,12,11487
327,422.1872222222222,100,False,12,11548
328,436.1272222222221,100,False,12,11609
328,436.765,100,False,12,11618
329,454.95138888888886,100,False,12,11627
330,461.73472222222216,100,False,12,11637
331,476.9974999999999,100,False,12,11669
332,487.51083333333327,100,False,12,11701
332,493.5974999999999,100,False,12,11723
333,509.6924999999999,100,False,12,11746
334,519.5269444444443,100,False,12,11804
335,535.718611111111,100,False,12,11862
335,541.8602777777777,100,False,12,11866
335,556.7491666666666,100,False,12,11870
335,558.0519444444444,100,False,12,11874
336,573.5452777777778,100,False,12,11896
337,576.7280555555556,100,False,12,11918
338,595.5058333333333,100,False,12,11905
338,601.7025,100,False,12,11902
338,610.5280555555555,100,False,12,11900
340,629.4169444444444,100,False,12,11948
340,629.9836111111111,100,False,12,11946
340,648.3058333333333,100,False,12,11945
340,654.5391666666667,100,False,12,11967
341,671.1155555555556,100,False,12,11989
341,675.3780555555556,100,False,12,11998
341,694.3225000000002,100,False,12,12008
342,709.0475000000001,100,False,12,12018
342,717.1225000000001,100,False,12,12012
343,728.0794444444446,100,False,12,12006
343,747.1350000000002,100,False,12,12137
343,747.611388888889,100,False,12,12160
344,766.2447222222223,100,False,12,12184
344,766.7225000000002,100,False,12,12126
345,785.4100000000002,100,False,12,12069
345,795.4725000000001,100,False,12,12108
345,820.3891666666667,100,False,12,12147
345,823.7433333333333,100,False,12,12187
345,841.4725000000001,100,False,12,12138
346,850.6030555555557,100,False,12,12089
346,864.6352777777778,100,False,12,12089
347,869.8402777777778,100,False,12,12089
346,893.4836111111113,100,False,12,12224
346,900.5958333333334,100,False,12,12359
346,914.6280555555556,100,False,12,12308
346,919.8180555555556,100,False,12,12258
346,941.5391666666668,100,False,12,12281
347,950.5997222222225,100,False,12,12304
347,969.8775000000002,100,False,12,12101
347,970.4558333333332,100,False,12,12127
347,993.5891666666666,100,False,12,12153
348,996.8758333333334,100,False,12,12179
348,1014.8558333333334,100,False,12,12202
348,1031.5791666666669,100,False,12,12226
348,1034.1891666666666,50,False,12,11918
348,1054.7791666666667,0,True,8,11610
335,1068.3652777777777,0,True,8,11129
323,1076.799166666667,0,True,8,10648
289,1096.065833333333,0,True,8,10165
273,1096.5208333333333,0,True,8,10251
257,1107.9430555555557,0,True,8,10338
241,1112.8969444444444,0,True,8,10425
215,1125.1997222222224,0,True,8,10541
190,1133.3275,0,True,8,10657
180,1135.6275,0,True,8,10520
171,1144.8425000000002,0,True,8,10384
160,1148.6647222222225,0,True,8,10341
149,1155.038611111111,0,True,8,10299
143,1159.249166666667,0,True,8,9771
138,1164.3858333333335,0,True,8,9243
133,1169.7797222222223,0,True,8,9033
129,1171.7147222222225,0,True,8,8823
124,1180.8769444444447,0,True,8,8464
120,1182.6769444444446,0,True,8,8106
118,1189.265277777778,0,True,8,7695
114,1192.590277777778,0,True,8,7601
111,1197.9861111111113,0,False,8,7507
107,1198.729166666667,1,False,8,7356
103,1207.1694444444447,3,False,8,7206
103,1209.029166666667,16,False,8,7446
103,1214.751388888889,29,False,8,7687
103,1216.3250000000005,42,False,8,7928
105,1222.8875000000005,47,False,8,8209
107,1223.3333333333337,53,False,8,8491
112,1229.088888888889,64,False,8,8718
118,1234.825,76,False,8,8946
121,1242.3875,38,False,8,8731
125,1242.9083333333333,0,True,8,8517
122,1248.5,0,True,8,8330
120,1251.0,0,True,8,8143
115,1262.0527777777777,0,True,8,7903
111,1262.4844444444443,0,False,8,7664
108,1268.4844444444443,0,True,8,7402
105,1274.4927777777775,10,True,8,7649
103,1278.898888888889,20,False,8,7896
103,1283.648333333333,28,False,8,7746
104,1285.7861111111108,36,False,8,7596
103,1290.3638888888886,54,False,8,8019
105,1290.5388888888886,62,False,8,8195
108,1297.1388888888885,71,False,8,8372
111,1297.570555555555,80,False,8,8549
114,1302.1938888888883,62,False,8,8841
117,1307.3938888888886,45,False,8,9134
121,1307.8644444444442,28,False,8,9427
128,1313.5177777777774,20,False,8,9385
127,1314.4702777777777,17,False,8,9258
126,1320.0352777777775,14,False,8,9132
126,1323.3252777777775,11,False,8,9006
124,1327.6652777777776,27,False,8,8979
123,1331.5602777777776,44,False,8,8953
125,1335.2408333333333,55,False,8,9420
128,1344.4852777777776,66,False,8,9888
131,1348.633611111111,78,False,8,10356
135,1354.108611111111,87,False,8,10852
139,1359.2825,96,False,8,11349
143,1361.1097222222222,98,False,8,11447
148,1369.0852777777775,100,False,8,11545
155,1378.815833333333,100,False,8,10965
162,1383.0458333333331,100,False,8,10386
171,1393.7808333333332,100,False,8,10757
180,1400.480833333333,100,False,8,11129
185,1405.9280555555554,100,False,8,11367
190,1415.4280555555554,100,False,8,11606
196,1421.6891666666666,100,False,8,11845
200,1436.4113888888885,100,False,8,11332
204,1439.528055555555,100,False,8,10819
217,1458.816944444444,100,False,14,11423
222,1459.1252777777777,100,False,14,11546
227,1473.943333333333,100,False,14,11670
231,1480.6808333333329,100,False,14,11530
236,1494.775277777777,100,False,12,11390
237,1497.7377777777772,100,False,12,11101
239,1505.3724999999995,100,False,12,10812
239,1524.2933333333328,100,False,12,11034
239,1526.616944444444,100,False,12,11257
248,1536.6058333333328,100,False,12,11484
257,1557.6655555555549,100,False,12,11711
260,1559.5433333333326,100,False,12,11711
264,1569.3699999999992,100,False,12,11711
267,1580.1983333333326,100,False,12,11293
270,1596.2483333333323,100,False,12,10876
273,1598.2199999999991,100,False,12,10976
276,1624.2866666666655,100,False,12,11076
280,1633.1533333333325,100,False,12,11177
282,1644.5899999999992,100,False,12,11255
285,1660.4233333333325,100,False,12,11333
288,1664.7433333333329,100,False,12,11411
289,1671.6472222222214,100,False,12,11496
291,1684.0955555555547,100,False,12,11581
293,1689.4672222222214,100,False,12,11253
295,1702.5783333333325,100,False,12,10925
297,1716.8508333333325,100,False,12,10597
298,1722.3141666666656,100,False,12,10652
299,1733.4436111111102,100,False,12,10708
300,1738.9436111111102,100,False,12,10734
302,1746.8291666666655,100,False,12,10760
303,1760.8008333333323,100,False,12,10831
305,1763.681388888888,100,False,12,10903
307,1777.3258333333324,100,False,12,10904
309,1794.492499999999,100,False,12,11022
310,1798.4536111111104,100,False,12,11051
311,1815.731388888888,100,False,12,11080
312,1822.1447222222207,100,False,12,11110
314,1833.1347222222207,100,False,12,11149
316,1857.1858333333323,100,False,12,11188
317,1864.75861111111,53,False,12,11116
318,1878.3619444444432,7,False,12,11045
306,1889.0719444444435,3,False,12,10695
295,1898.41361111111,0,True,8,10345
264,1916.086944444444,0,True,8,9037
250,1917.8230555555544,0,True,8,9134
237,1934.6105555555544,0,True,8,9232
219,1945.8647222222207,0,True,8,9613
202,1948.950833333332,0,True,8,9994
192,1954.550833333332,0,True,8,9909
182,1959.3536111111096,0,True,8,9825
168,1966.1202777777764,0,True,8,9363
155,1970.2105555555545,0,True,8,8901
148,1973.7049999999988,0,True,8,9237
142,1980.8049999999987,0,True,8,9574
136,1984.393888888888,0,True,8,9911
130,1991.074444444443,0,True,8,9421
125,1991.5952777777763,0,True,8,8931
111,2002.6952777777765,0,True,8,7425
107,2003.438333333332,0,True,8,7215
